"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",161,0.875930228278302,3.05422129296852,1e-10,3.73271604938272e-09,2.80766731643925e-09,1126,"tags=78%, list=7%, signal=73%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGKV2D-28/IGLV2-23/IGKV3-11/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/FCGR1A/IGHV3-7/IGHV4-59/IGKV3-15/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/FCGR3A/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/CD8A/CD300E/IGLV7-43/LILRB4/IGKV3D-20/SIGLEC9/SLAMF7/IFITM1/LILRA3/TREM1/KLRC1/HCST/VCAM1/SH2D1A/LILRB1/CD96/CD247/SIGLEC7/IGKV1D-16/CD300LF/CD3G/NCR1/LILRB2/CD40LG/KIR2DL4/CD3D/LILRA4/ITGB2/CD8B/PILRA/SIGLEC1/CD226/SLAMF6/KLRD1/KLRB1/SH2D1B/ICAM1/SIGLEC10/LILRB3/SELL/TYROBP/ITGAL/MICB/CD19/LILRA5/LAIR2/NCR3/ICAM3/CD300C/ITGA4/LILRA6/LILRA1/CLEC2D/TREM2/CD3E/TRBV7-9/LAIR1/HLA-F/ICAM5/CD300A/HLA-A/CRTAM/CD33/B2M/JAML/HLA-G/OSCAR/KLRG1/ITGB7/TRAV8-4/SIGLEC11/CD22/LILRA2/HLA-B/SIGLEC8/CD40/TREML2/HLA-C"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",75,0.938649059507129,3.02971033767716,1e-10,3.73271604938272e-09,2.80766731643925e-09,254,"tags=73%, list=2%, signal=72%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/FCGR1A/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/FCGR3A/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CD247/IGKV1D-16/CD3G"
"HOLLERN_EMT_BREAST_TUMOR_DN","HOLLERN_EMT_BREAST_TUMOR_DN",119,-0.753808003970611,-3.00972132677367,1e-10,3.73271604938272e-09,2.80766731643925e-09,2407,"tags=80%, list=15%, signal=68%","SPINT2/ZNF185/TMEM54/ACOT1/CLIC3/FZD6/SORT1/TMC4/PPFIBP2/ACOT2/HIP1R/CALML3/CBLC/TNK1/TMEM79/BLMH/IDE/OCLN/KIF21A/ELOVL7/C1orf210/FXYD3/PRSS8/STAP2/ELMO3/NECTIN4/STARD10/BCL11A/OVOL1/ESRP2/GRB7/PATJ/ATP6V1C2/PKP3/RHPN2/TMPRSS13/MAP7/WWC1/GRHL1/EPS8L1/KLC3/TMEM184A/CLDN4/MYO5B/CDH1/EPB41L5/NIPAL2/SDR42E1/GSDMA/PLEKHH1/PLEKHG6/TFAP2C/CKMT1B/EPS8L2/MARVELD2/RAB25/CCDC120/JUP/CHDH/SLC5A9/TJP3/CRB3/RIPK4/CLDN3/CXADR/SPINT1/MAL2/SHROOM3/DDR1/ENDOU/GRHL2/AP1M2/BSPRY/FAM83H/IL17RE/ELF5/ESRP1/CELSR2/IRF6/ERBB3/PTPRF/EPB41L4B/EPCAM/EVPL/RNF43/EPPK1/SPTBN2/CLDN1/DSP/POF1B/KDF1/EFNA3/KRT15/MYH14/THRSP"
"MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP",240,0.830803566032973,2.9912781432214,1e-10,3.73271604938272e-09,2.80766731643925e-09,1561,"tags=74%, list=10%, signal=67%","MMP1/IGKV1D-39/IGLC2/IGHV3-21/IGKV2D-28/IGHG1/IGKV4-1/IGLV2-14/IGKV3-20/CXCL9/IGKC/IGHV3-23/IGHM/JCHAIN/ADAMDEC1/IGHA1/IGHV1-69/MZB1/CCL18/CXCL13/CCL8/SERPINA1/IL6/IGHV3-20/IGHV4-61/GZMB/CD79A/CSF2RB/S100A8/LYZ/CCL3/RPS4Y1/SPP1/IGKV1D-13/SLAMF8/SAMSN1/CXCR4/MMP9/CD53/IL1B/DDX3Y/TREM1/CXCL5/CD48/TRBC2/FPR1/VCAM1/TRBC1/CCL5/TYMP/SRGN/IL10RA/PI3/BCL2A1/C3AR1/TNFRSF1B/SASH3/ITGB2/CTSS/KDM5D/PIM2/MS4A1/PLEK/SOCS3/CCR1/IFI30/RNASE6/SLC2A3/CD27/TNFAIP6/PLAUR/CLEC7A/FCER1G/PLA2G7/LAPTM5/FCGR3B/PTPRC/ICAM1/MSR1/CCR2/HLA-DRA/SOD2/KYNU/TYROBP/APOC1/CYBB/HLA-DQA1/HLA-DPA1/RAC2/LCP2/C1QB/FCGR2A/HLA-DMB/IL7R/HCK/CYBA/CYTIP/MS4A4A/SLA/CD14/EVI2A/PAX5/CFB/POU2AF1/CORO1A/IGFLR1/IRF8/HLA-DRB1/NCF4/MNDA/SERPINE2/CPVL/SCO2/BIRC3/LTB/ALOX5/LY96/ARPC1B/CHI3L1/MT1G/SEL1L3/PTGER4/CD74/HLA-DPB1/ACP5/CD37/CXCL8/HCLS1/EVI2B/HLA-DMA/C5AR1/LCP1/MS4A6A/NCF2/TIMP1/SELE/CD84/HLA-DQB1/PLAC8/SFRP4/STAB1/FKBP11/ALOX5AP/TNFAIP3/CD4/UCP2/CTSC/CCL2/SAT1/MAN2B1/TNFRSF21/INHBA/PLAU/LYN/CD163/FGL2/NAMPT/MT2A/IL11/RAB31/CHI3L2/C4A/IRF4/NNMT/CTSH/LRRC15/MTHFD2/CHST15/BCL3/LBP/SLC7A11/CSF1R/PTGS2/CD209/ANPEP/EIF1AY/FCGR2B"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",114,0.882691804496851,2.96200272893165,1e-10,3.73271604938272e-09,2.80766731643925e-09,383,"tags=44%, list=2%, signal=43%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGKV2D-28/IGLV2-23/IGKV3-11/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/IGKV1D-16/CARD11/FCER1G"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",57,0.964461280868862,2.95882134504267,1e-10,3.73271604938272e-09,2.80766731643925e-09,494,"tags=93%, list=3%, signal=90%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/IGKV1D-16/C1QC/C1QB"
"JAEGER_METASTASIS_DN","JAEGER_METASTASIS_DN",247,-0.681861035519158,-2.95738852186076,1e-10,3.73271604938272e-09,2.80766731643925e-09,2015,"tags=61%, list=13%, signal=54%","PLP2/LAMA3/DUOX1/CLTB/ARHGAP32/CDA/PRDX2/NET1/MID2/BICD2/IVL/FXYD3/PRSS8/KLK8/STAP2/ELMO3/CYP26B1/KIT/KRT14/CTNND1/BCL11A/TMEM45A/MAPK13/SCNN1A/GABRE/ESRP2/ITPR3/ITGB4/PRSS3/PTCH1/LY6D/S100A14/SCUBE2/SOWAHC/GSTT1/TUBA4A/KRT19/FHOD3/FERMT1/DEFB1/IMPA2/PKP3/ASS1/F2RL1/JAG1/ABLIM1/ALDH3B2/MCOLN3/MAP7/PTGS1/ARHGEF4/SOX15/ANK3/TPD52L1/GJB3/CDH1/DST/KLK7/AHNAK/PAK6/KRT5/FZD10/PRELP/TFAP2C/CKMT1B/MMP28/ANXA8/GPR87/MYO6/NAP1L2/RAB25/RORA/GJA1/ADCY2/JUP/CDS1/COL4A6/ABCA12/CALML5/C1orf116/CTNNBIP1/TP63/SPINK5/CXADR/FCGBP/CWH43/PALMD/KRT23/FCER1A/BBOX1/GRHL2/NFIB/PERP/KLF4/EFS/KLK11/LYPD3/TACSTD2/IRF6/HOPX/ZNF750/NEBL/MATN2/AKR1C1/LGR5/DSC3/TRIM29/PPL/EGFR/LGALS7/PKP1/FAT2/CXCL14/MST1R/COL17A1/KLF5/FGFR3/TP53AIP1/GATA3/HLF/TUFT1/EVPL/RAPGEFL1/BMP7/DPP6/EPPK1/CST6/EPHB6/PTPRZ1/POU2F3/DSP/FGFR2/NTRK2/DSG1/NMU/EXPH5/SCGB2A2/CDHR1/TYRP1/CD207/CHP2/FLG/PCSK2/KRT15/DSC1/COBL/KRT1/TFAP2B/KRT31/CCL27/KRT10"
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS","REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS",88,0.901449707601702,2.95621681375631,1e-10,3.73271604938272e-09,2.80766731643925e-09,509,"tags=67%, list=3%, signal=65%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/FCGR1A/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/FCGR3A/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CD247/IGKV1D-16/CD3G/FGR/IL10/FCGR2A/HCK"
"REACTOME_FCGR_ACTIVATION","REACTOME_FCGR_ACTIVATION",63,0.952499439576944,2.95006259728356,1e-10,3.73271604938272e-09,2.80766731643925e-09,509,"tags=92%, list=3%, signal=89%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGHG2/IGKV2D-28/IGLV2-23/IGKV3-11/IGHG1/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/FCGR1A/IGHV3-7/IGHV4-59/IGKV3-15/IGHG4/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/FCGR3A/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/IGLV7-43/IGKV3D-20/CD247/IGKV1D-16/CD3G/FGR/FCGR2A/HCK"
"REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",54,0.961821338243507,2.94020977972304,1e-10,3.73271604938272e-09,2.80766731643925e-09,250,"tags=93%, list=2%, signal=91%","IGLC3/IGKV1-5/IGLV3-1/IGLV3-19/IGKV1D-39/IGKV1D-33/IGLV2-8/IGLC2/IGLV3-21/IGKV2D-28/IGLV2-23/IGKV3-11/IGKV4-1/IGLV2-14/IGHV4-34/IGKV3-20/IGLV1-44/IGHV3-23/IGHV3-53/IGLV3-25/IGHM/IGHV1-46/IGKV1-17/IGLV2-11/IGHV3-30/IGHV3-7/IGHV4-59/IGKV3-15/IGKV1-12/IGLV1-51/IGHV1-2/IGHV1-69/IGKV1D-12/IGHV3-11/IGKV1-16/IGHV3-33/IGLV1-40/IGLV1-47/IGHV2-5/IGHV4-39/IGKV1-39/IGLV6-57/IGKV2-30/IGHV3-48/IGKV1-33/IGHV2-70/CD79A/IGLV7-43/IGKV3D-20/IGKV1D-16"
